name,speed,acc,weight,multiplier,folder_name,author,stock
Purp XL,67.4,3.20,2,0.7,jg5purpxl,Acclaim Studios London,TRUE
SNW 35,65.8,4.32,1.5,0.7,jg4snw35,Acclaim Studios London,TRUE
Toyeca,64.8,3.2,2,0.7,toyeca,Acclaim Studios London,TRUE
Outlaw,66.2,2.62,2,0.7,nrf_outlaw,Norfair,FALSE
Power Loader,67.1,2.54,4.0,0.7,nrf_sm1,Norfair,FALSE
Ridgeback,65.6,3.3,1.9,0.7,ridgeback,Norfair,FALSE
Shinobi,70.2,3.39,1.7,0.7,shinobi,MightyCucumber,FALSE
Spettrale,63.8,4.88,2,0.7,phim_spettrale,Phimeek,FALSE
Blackfang,66.6,2.9,2,0.8,blackfangr8,Paddy Productions,FALSE
Chimera TC,61.4,3.73,1.6,0.8,chimtc,BloodBTF,FALSE
Puma,64.5,4.14,1.8,0.8,nrf_puma,Norfair,FALSE
Pyrosonic,69.3,2.38,1.95,0.8,tcp_pyro,BloodBTF,FALSE
Sparker,68.2,3.35,1.2,0.8,sparker,TTDriver,FALSE
Tier 15,65.7,3.29,3.7,0.8,tier15,Norfair,FALSE
Humma,64,3.45,2,0.9,sugo,Acclaim Studios London,TRUE
Acclaim F1,66.8,3.66,1.0,0.9,acclaimf1,MightyCucumber,FALSE
Steezy,66,3.07,1.7,0.9,steezy,Norfair,FALSE
Sunrise,66.5,2.92,1.9,0.9,nrf_sunrise,Norfair,FALSE
Visconti R,63.2,3.43,1.8,0.9,visconti,burner94,FALSE
Sucker Punch,66.6,3.18,1.25,1.0,fan,burner94,FALSE
Wildstar,66.3,3.6,1,1.0,wildstar,TTDriver,FALSE
Patriot,73.7,5.04,1.9,1.1,patriot,MightyCucumber,FALSE
Ultra Drive,67.9,4.11,1.8,1.1,ultradrive,TTDriver,FALSE
Sir Gleam,67.4,4.45,1,1.2,gleam,MightyCucumber,FALSE
RC Bulldog,70.5,2.81,5,1.3,bulldog,Trixed,FALSE
Superdriver,62.9,5.45,1.4,1.3,superdriver,burner94,FALSE
Vantastique,70.8,2.41,3.25,1.3,vantastique,FZG (Ziggy),FALSE
Cougar,69.7,2.36,2,1.6,cougar,Acclaim Studios London,TRUE
Panga,69.6,2.73,2.5,1.8,panga,Acclaim Studios London,TRUE
Power Station,61.4,4.72,1.8,2.0,powerstation,Wichilie,FALSE
AMW,68.2,2.31,1,2.5,amw,Acclaim Studios London,TRUE
Fulon X,62.5,2.05,1.2,3.2,jg2fulonx,Acclaim Studios London,TRUE
