name,speed,acc,weight,multiplier,folder_name,author,stock
R6 Turbo,59.4,2.47,0.8,0.7,r5,Acclaim Studios London,TRUE
Top Tier,55,2.28,1.4,0.7,fd89top,Xarc,FALSE
Twilight GT,55.9,2.75,1.3,0.7,tcp_twilight,Norfair,FALSE
Arctic Stomper,57,2.38,2.3,0.8,gtc_arcstomper,Ghosterino,FALSE
Drawall,54.2,2.67,1.4,0.8,lib7a_spray,Paperman,FALSE
Dust Shot,54.8,2.19,1.5,0.8,dustshot,TTDriver,FALSE
Emperor,57.6,2.34,2,0.8,emperor,Trixed,FALSE
Glass Cannon,52.5,13.7,0.7,0.8,tcp_glass,Norfair,FALSE
Le Pastel,56.8,2.14,2,0.8,fd110pastel,Xarc,FALSE
Rice Ball,59.4,2.05,1.6,0.8,rice,MightyCucumber,FALSE
Spearhead,54.5,2.77,2.0,0.8,spearhead,BloodBTF,FALSE
Springtrap,55,2.8,1.2,0.8,rv2_buggy,MightyCucumber,FALSE
Weaver,59.8,2.02,2.0,0.8,weaver,Norfair,FALSE
Bertha Ballistics,56.9,2.24,3,0.9,sgt,Acclaim Studios London,TRUE
Sturm,53.1,2.90,2.0,0.9,lib14b_sturm,Norfair,FALSE
Vermillion,55.2,2.42,1.4,0.9,tcp_verm,BloodBTF,FALSE
Vibe Box,54.0,2.54,1.9,0.9,vibebox,MightyCucumber,FALSE
YNZ,58.7,2.16,1.7,0.9,nrf_ynz,Norfair,FALSE
Panga TC,59.9,2.13,1.8,1.0,tc2,Acclaim Studios London,TRUE
Shocker,57.2,2.13,1.8,1.0,tc8,Acclaim Studios London,TRUE
Diamond,55.9,2.23,1.2,1.0,diamond,TTDriver,FALSE
Drive-Thru,57.7,2.13,1.8,1.0,tcp_junkfood,burner94,FALSE
Metal Masher,53.4,2.59,2.7,1.0,jgp_metalmasher,Ghosterino,FALSE
Moonshine XL,58.1,2.75,1.8,1.0,tcp_moonshine,Norfair,FALSE
Flower Power,57.8,2.76,1.6,1.1,flowerpower2,MightyCucumber,FALSE
Panther,62.9,2.18,1.65,1.1,panthergto,kiwi,FALSE
BossVolt,57.4,2.16,3.5,1.2,bossvolt,Acclaim Studios London,TRUE
Groovster,55.7,1.66,2,1.2,tc9,Acclaim Studios London,TRUE
Akagi Attacker,55.5,4.29,1.5,1.3,fd_s19,Xarc,FALSE
Evil Weasel,58.4,1.95,1.4,1.6,flag,Acclaim Studios London,TRUE
NY 54,57.6,1.62,1.6,1.6,tc5,Acclaim Studios London,TRUE
Splat,54.1,1.62,1.6,1.9,tc11,Acclaim Studios London,TRUE
