name,speed,acc,weight,multiplier,folder_name,author,stock
R6 Turbo,59.4,2.47,0.8,0.7,r5,Acclaim Studios London,TRUE
Cursan,56.4,2.44,1.9,0.7,fd171cursan,Xarc,FALSE
JC 161,55.6,3.2,1.15,0.7,fd161jc,Xarc,FALSE
Twilight GT,55.9,2.75,1.3,0.7,tcp_twilight,Norfair,FALSE
Arctic Stomper,57,2.38,2.3,0.8,gtc_arcstomper,Ghosterino,FALSE
Camelia,58.8,2.79,1.71,0.8,camelia,Zeino,FALSE
Drawall,54.2,2.67,1.4,0.8,lib7a_spray,Paperman,FALSE
Dust Shot,54.8,2.19,1.5,0.8,dustshot,TTDriver,FALSE
Emperor,57.6,2.34,2,0.8,emperor,Trixed,FALSE
Glass Cannon,52.5,13.7,0.7,0.8,tcp_glass,Norfair,FALSE
Serro Sport,55.8,2.4,1.5,0.8,gtc_serro,Ghosterino,FALSE
Weaver,59.8,2.02,2.0,0.8,weaver,Norfair,FALSE
Bertha Ballistics,56.9,2.24,3,0.9,sgt,Acclaim Studios London,TRUE
Fierro,56.4,2.64,2.2,0.9,fierro,TTDriver,FALSE
Le Pastel,56.8,2.14,2,0.9,fd110pastel,Xarc,FALSE
Raudy,54.3,2.56,1.5,0.9,rv2_coupe,MightyCucumber,FALSE
Sunnyboy,57.3,2.72,2.2,0.9,sunnyboy,kiwi,FALSE
Vibe Box,54.0,2.54,1.9,0.9,vibebox,MightyCucumber,FALSE
YNZ,58.7,2.16,1.7,0.9,nrf_ynz,Norfair,FALSE
Panga TC,59.9,2.13,1.8,1.0,tc2,Acclaim Studios London,TRUE
Shocker,57.2,2.13,1.8,1.0,tc8,Acclaim Studios London,TRUE
Diamond,55.9,2.23,1.2,1.0,diamond,TTDriver,FALSE
Metal Masher,53.4,2.59,2.7,1.0,jgp_metalmasher,Ghosterino,FALSE
Panther,62.9,2.18,1.65,1.0,panthergto,kiwi,FALSE
Flower Power,57.8,2.76,1.6,1.1,flowerpower2,MightyCucumber,FALSE
Marauder,58.1,1.96,1.7,1.1,marauder,BloodBTF,FALSE
BossVolt,57.4,2.16,3.5,1.2,bossvolt,Acclaim Studios London,TRUE
Groovster,55.7,1.66,2,1.2,tc9,Acclaim Studios London,TRUE
Akagi Attacker,55.5,4.29,1.5,1.3,fd_s19,Xarc,FALSE
Evil Weasel,58.4,1.95,1.4,1.6,flag,Acclaim Studios London,TRUE
NY 54,57.6,1.62,1.6,1.6,tc5,Acclaim Studios London,TRUE
Splat,54.1,1.62,1.6,1.9,tc11,Acclaim Studios London,TRUE
